word1,word2
uprising,rebellion
fleet,deck
infection,pain
dance,waltz
dungeon,cave
avenue,boulevard
piercing,tattoo
train,track
travel,continent
shade,curtain
friend,loyalty
pen,cap
mound,hill
shore,bank
decency,courtesy
clasp,squeeze
monkey,gorilla
outcome,solution
fire,stove
blacksmith,horseshoe
cellar,wine
feline,tiger
road,tar
furniture,table
hair,comb
time,second
winter,ice
mountain,peak
song,harmony
ruler,command
sign,marquee
wheel,tire
celebration,beer
car,headlights
sports,baseball
massage,knot
boat,canoe
tomato,ketchup
jail,offense
painting,gallery
string,cord
promise,pact
instrument,oboe
spell,curse
bed,pillow
crisis,shortage
theatre,balcony
theory,practice
television,commercial
power,knowledge
