word1,word2
dungeon,cave
power,knowledge
painting,gallery
furniture,table
avenue,boulevard
friend,loyalty
television,commercial
tomato,ketchup
shade,curtain
theatre,balcony
uprising,rebellion
instrument,oboe
massage,knot
time,second
hair,comb
winter,ice
decency,courtesy
theory,practice
promise,pact
monkey,gorilla
spell,curse
infection,pain
road,tar
jail,offense
dance,waltz
ruler,command
shore,bank
fire,stove
clasp,squeeze
sports,baseball
fleet,deck
blacksmith,horseshoe
wheel,tire
travel,continent
car,headlights
mountain,peak
sign,marquee
outcome,solution
pen,cap
song,harmony
string,cord
cellar,wine
feline,tiger
mound,hill
celebration,beer
boat,canoe
bed,pillow
train,track
piercing,tattoo
crisis,shortage
